order_id,product_code,order_type,amount,fee,shares,requested_at,trade_date,nav_date,confirm_date,holding_days,sell_fee_rate,status,note
20251220144025_161130_2025-12-18 09:48:46,161130,buy_debit,10,0.01,,2025-12-18 09:48:46,2025-12-18,2025-12-18,2025-12-22,,,pending,易方达纳斯达克100ETF联接(QDII-LOF)A
20251220144025_018043_2025-12-18 09:48:49,018043,buy_debit,50,0.05,,2025-12-18 09:48:49,2025-12-18,2025-12-18,2025-12-22,,,pending,天弘纳斯达克100指数(QDII)A
20251220144025_161125_2025-12-18 09:48:53,161125,buy_debit,10,0.01,,2025-12-18 09:48:53,2025-12-18,2025-12-18,2025-12-22,,,pending,易方达标普500指数(QDII-LOF)A
20251220144025_016452_2025-12-18 10:06:30,016452,buy_debit,50,0.06,,2025-12-18 10:06:30,2025-12-18,2025-12-18,2025-12-22,,,pending,南方纳斯达克100指数(QDII)A
20251220144025_019172_2025-12-18 10:12:41,019172,buy_debit,10,0.01,,2025-12-18 10:12:41,2025-12-18,2025-12-18,2025-12-22,,,pending,摩根纳斯达克100指数(QDII)A
20251220144025_017641_2025-12-18 10:12:47,017641,buy_debit,100,0.12,,2025-12-18 10:12:47,2025-12-18,2025-12-18,2025-12-22,,,pending,摩根标普500指数(QDII)A
20251220144025_161130_2025-12-19 09:46:00,161130,buy_debit,10,0.01,,2025-12-19 09:46:00,2025-12-19,2025-12-19,2025-12-23,,,pending,易方达纳斯达克100ETF联接(QDII-LOF)A
20251220144025_018043_2025-12-19 09:46:04,018043,buy_debit,50,0.05,,2025-12-19 09:46:04,2025-12-19,2025-12-19,2025-12-23,,,pending,天弘纳斯达克100指数(QDII)A
20251220144025_161125_2025-12-19 09:46:07,161125,buy_debit,10,0.01,,2025-12-19 09:46:07,2025-12-19,2025-12-19,2025-12-23,,,pending,易方达标普500指数(QDII-LOF)A
20251220144025_016452_2025-12-19 10:03:46,016452,buy_debit,50,0.06,,2025-12-19 10:03:46,2025-12-19,2025-12-19,2025-12-23,,,pending,南方纳斯达克100指数(QDII)A
20251220144025_019172_2025-12-19 10:10:04,019172,buy_debit,10,0.01,,2025-12-19 10:10:04,2025-12-19,2025-12-19,2025-12-23,,,pending,摩根纳斯达克100指数(QDII)A
20251220144025_017641_2025-12-19 10:10:14,017641,buy_debit,100,0.12,,2025-12-19 10:10:14,2025-12-19,2025-12-19,2025-12-23,,,pending,摩根标普500指数(QDII)A
